The result for hurdat2-1851-2017-050118.txt is:

|     Strom name     ||      Storm ID      ||  Distance travel   ||  Mean propagation  ||  Max propagation   ||        TRSE        ||Max hurricane surface area|
|        N/A         ||      AL011872      ||       720.69       ||        6.32        ||       30.04        ||     9336000.0      ||        N/A         |
|        N/A         ||      AL021872      ||      3396.31       ||       10.29        ||       18.98        ||    122394000.0     ||        N/A         |
|        N/A         ||      AL031872      ||      2063.45       ||        7.32        ||        12.1        ||     83424000.0     ||        N/A         |
|        N/A         ||      AL041872      ||       2429.5       ||        15.0        ||       26.26        ||     42264000.0     ||        N/A         |
|        N/A         ||      AL051872      ||      1929.99       ||       12.87        ||       20.15        ||     15050000.0     ||        N/A         |
|        N/A         ||      AL011873      ||       600.18       ||       16.67        ||       23.87        ||     2082000.0      ||        N/A         |
|        N/A         ||      AL021873      ||      4613.52       ||       12.21        ||       19.87        ||    169068000.0     ||        N/A         |
|        N/A         ||      AL031873      ||      1321.98       ||       20.03        ||        34.9        ||     20187000.0     ||        N/A         |
|        N/A         ||      AL041873      ||      1229.09       ||       18.62        ||       34.36        ||     6054000.0      ||        N/A         |
|        N/A         ||      AL051873      ||      3334.14       ||        9.75        ||       27.91        ||    134480000.0     ||        N/A         |
|        N/A         ||      AL011874      ||       729.03       ||        9.35        ||       12.16        ||     7820000.0      ||        N/A         |
|        N/A         ||      AL021874      ||       1588.1       ||       13.93        ||       18.73        ||     30606000.0     ||        N/A         |
|        N/A         ||      AL031874      ||       3308.3       ||       13.45        ||       25.96        ||     68940000.0     ||        N/A         |
|        N/A         ||      AL041874      ||       780.49       ||        5.66        ||        8.03        ||     8076000.0      ||        N/A         |
|        N/A         ||      AL051874      ||      1570.93       ||       17.45        ||       28.27        ||      11250000      ||        N/A         |
|        N/A         ||      AL061874      ||      2395.33       ||       15.97        ||       26.32        ||     27105000.0     ||        N/A         |
|        N/A         ||      AL071874      ||       800.8        ||        7.02        ||       10.95        ||     30954000.0     ||        N/A         |
|        N/A         ||      AL011875      ||       1045.3       ||       11.61        ||       17.76        ||     30870000.0     ||        N/A         |
|        N/A         ||      AL021875      ||      3332.06       ||       14.24        ||       22.24        ||     71100000.0     ||        N/A         |
|        N/A         ||      AL031875      ||      3053.91       ||       11.84        ||       18.92        ||    135141000.0     ||        N/A         |
|        N/A         ||      AL041875      ||       869.44       ||        9.06        ||       12.01        ||     10009000.0     ||        N/A         |
|        N/A         ||      AL051875      ||      1280.32       ||       14.23        ||       30.25        ||     46218000.0     ||        N/A         |
|        N/A         ||      AL061875      ||      1504.28       ||        13.2        ||       31.35        ||     23118000.0     ||        N/A         |
|        N/A         ||      AL011876      ||       673.0        ||        10.2        ||        15.1        ||     24660000.0     ||        N/A         |
|        N/A         ||      AL021876      ||      2857.77       ||       15.36        ||       27.41        ||     54782000.0     ||        N/A         |
|        N/A         ||      AL031876      ||      1148.79       ||       17.41        ||       21.03        ||     8250000.0      ||        N/A         |
|        N/A         ||      AL041876      ||      1810.18       ||       12.07        ||       16.69        ||     51804000.0     ||        N/A         |
|        N/A         ||      AL051876      ||      2068.38       ||        7.33        ||        23.7        ||    109254000.0     ||        N/A         |
|        N/A         ||      AL011877      ||       1802.5       ||       17.67        ||       33.59        ||     16386000.0     ||        N/A         |
|        N/A         ||      AL021877      ||      1440.72       ||        7.75        ||       15.53        ||     38636000.0     ||        N/A         |
|        N/A         ||      AL031877      ||      1713.65       ||       10.58        ||       25.21        ||     52518000.0     ||        N/A         |
|        N/A         ||      AL041877      ||      3820.94       ||       10.79        ||       31.05        ||    152723000.0     ||        N/A         |
|        N/A         ||      AL051877      ||      1325.29       ||        9.6         ||       14.81        ||     11760000.0     ||        N/A         |
|        N/A         ||      AL061877      ||      1850.41       ||       13.41        ||       20.74        ||     17250000.0     ||        N/A         |
|        N/A         ||      AL071877      ||       1751.5       ||       17.17        ||       38.62        ||     8358000.0      ||        N/A         |
|        N/A         ||      AL081877      ||      2005.63       ||       30.39        ||       48.53        ||     5688000.0      ||        N/A         |
|        N/A         ||      AL011878      ||       689.81       ||       10.45        ||       16.01        ||     4113000.0      ||        N/A         |
|        N/A         ||      AL021878      ||      2392.09       ||        9.06        ||       16.55        ||     48360000.0     ||        N/A         |
|        N/A         ||      AL031878      ||       1100.8       ||       16.68        ||       23.05        ||     24660000.0     ||        N/A         |
|        N/A         ||      AL041878      ||      1939.98       ||       14.06        ||       28.14        ||     60924000.0     ||        N/A         |
|        N/A         ||      AL051878      ||      3152.98       ||        10.3        ||       25.26        ||     90757000.0     ||        N/A         |
|        N/A         ||      AL061878      ||      1539.35       ||        9.5         ||       17.41        ||     79602000.0     ||        N/A         |
|        N/A         ||      AL071878      ||      3292.06       ||        9.3         ||       36.54        ||    307392000.0     ||        N/A         |
